,PPV,TPR,F1,INF
7PJX_w,0.952,1.0,0.976,0.976
7PJY_B,,,,
7PJY_v,,,,
7PJY_w,0.952,1.0,0.976,0.976
7PJZ_B,,,,
7PJZ_v,,,,
7PJZ_w,0.95,1.0,0.974,0.975
7PWG_3,0.543,0.594,0.567,0.568
7PWO_3,0.529,0.581,0.554,0.554
7Q3L_2,0.0,0.0,0.0,0.0
7QEP_2,,,,
7QG8_A,,,,
7QG8_M,0.476,0.556,0.513,0.514
7QG8_O,,,,
7QGH_M,0.476,0.556,0.513,0.514
7QGH_O,,,,
7QGH_u,,,,
7QGN_A,,,,
7QGN_M,0.476,0.556,0.513,0.514
7QGN_O,,,,
7QGU_B,,,,
7QH4_B,,,,
7QV1_B,,,,
7QV2_B,,,,
7QV3_B,,,,
7QWQ_1,0.714,0.682,0.698,0.698
7QWQ_7,,,,
7QWR_7,,,,
7QWS_7,,,,
7QXA_B,0.281,0.295,0.288,0.288
7QXB_B,0.0,0.0,0.0,0.0
7QXS_B,0.0,0.0,0.0,0.0
7R6L_A,,,,
7R6M_A,,,,
7R6N_A,,,,
7R81_B1,,,,
7R81_t1,,,,
7R81_u1,,,,
7RQ8_1B,,,,
7RQ8_1w,0.286,0.286,0.286,0.286
7RQ8_1x,,,,
7RQ8_1y,0.286,0.286,0.286,0.286
7RQ8_2B,,,,
7RQ8_2x,,,,
7RQ9_1B,,,,
7RQ9_1w,0.286,0.286,0.286,0.286
7RQ9_1x,,,,
7RQ9_1y,0.3,0.3,0.3,0.3
7RQ9_2B,,,,
7RQ9_2x,,,,
7RQA_1B,,,,
7RQA_2B,,,,
7RQB_1B,,,,
7RQB_2B,,,,
7RQC_1B,,,,
7RQC_2B,,,,
7RQD_1B,,,,
7RQD_2B,,,,
7RQE_1B,,,,
7RQE_2B,,,,
7RR5_A,,,,
7RR5_C4,,,,
7RR5_P,,,,
7RYF_B,,,,
7RYF_v,,,,
7RYG_B,,,,
7RYG_v,,,,
7RYH_B,,,,
7S0S_i,,,,
7S1G_A,0.933,1.0,0.966,0.966
7S1G_J,,,,
7S1H_J,,,,
7S1I_A,0.933,1.0,0.966,0.966
7S1I_J,,,,
7S1J_J,,,,
7S1K_A,0.933,1.0,0.966,0.966
7S1K_J,,,,
7SAM_A,0.923,0.941,0.932,0.932
7SC6_C,0.868,0.939,0.902,0.903
7SCQ_C,0.882,0.938,0.909,0.91
7SS9_2,,,,
7SS9_5,,,,
7SS9_6,,,,
7SSD_2,,,,
7SSD_5,,,,
7SSD_6,,,,
7SSL_2,,,,
7SSL_5,,,,
7SSL_6,,,,
7SSN_2,,,,
7SSN_5,,,,
7SSN_6,,,,
7SSO_2,,,,
7SSO_5,,,,
7SSO_6,,,,
7SSW_2,,,,
7SSW_5,,,,
7SSW_6,,,,
7ST2_2,,,,
7ST2_5,,,,
7ST2_6,,,,
7ST6_2,,,,
7ST6_5,,,,
7ST6_6,,,,
7ST6_7,,,,
7ST7_2,,,,
7ST7_5,,,,
7ST7_6,,,,
7TDA_A,0.619,0.65,0.634,0.634
7TDB_A,0.619,0.65,0.634,0.634
7TDC_A,0.619,0.65,0.634,0.634
7TRC_B,0.962,1.0,0.98,0.981
7TRD_B,0.403,0.446,0.424,0.424
7TRE_B,0.387,0.421,0.403,0.404
7TRF_B,0.397,0.439,0.417,0.417
7V99_R,0.0,0.0,0.0,0.0
7V9A_R,0.176,0.171,0.174,0.174
7VNV_A,0.294,0.294,0.294,0.294
7VNV_B,0.294,0.294,0.294,0.294
7VNW_A,0.824,0.933,0.875,0.877
7VNW_B,0.824,0.933,0.875,0.877
1M5K_B,0.889,0.842,0.865,0.865
1M5K_E,0.905,0.864,0.884,0.884
1M5O_B,0.9,0.857,0.878,0.878
1M5O_E,0.905,0.864,0.884,0.884
1M5P_B,0.895,0.85,0.872,0.872
1M5P_E,0.9,0.857,0.878,0.878
1M5V_B,0.895,0.85,0.872,0.872
1M5V_E,0.895,0.85,0.872,0.872
3IZZ_D,0.0,0.0,0.0,0.0
4V9I_AY,,,,
4V9I_CY,,,,
5T5A_A,0.524,0.611,0.564,0.566
6JQ6_U,0.947,0.947,0.947,0.947
6LKQ_u,,,,
6LQM_5,,,,
6LSR_5,,,,
6LSS_5,,,,
6LU8_5,,,,
6M62_3,,,,
6NSH_RB,,,,
6NSH_YB,,,,
6NTA_RB,,,,
6NTA_YB,,,,
6NUO_QV,,,,
6NUO_RB,,,,
6NUO_XV,,,,
6NUO_YB,,,,
6NWY_QV,,,,
6NWY_RB,,,,
6NWY_XV,,,,
6NWY_YB,,,,
6O3M_QV,,,,
6O3M_RB,,,,
6O3M_XV,,,,
6O3M_YB,,,,
6O8W_B,,,,
6O8W_u,1.0,1.0,1.0,1.0
6O8X_B,,,,
6O8Y_B,,,,
6O8Z_B,,,,
6O90_B,,,,
6OF6_QV,,,,
6OF6_QW,,,,
6OF6_QY,,,,
6OF6_RB,,,,
6OF6_XV,,,,
6OF6_XW,,,,
6OF6_XY,,,,
6OF6_YB,,,,
6OJ2_QV,,,,
6OJ2_QW,,,,
6OJ2_QY,,,,
6OJ2_RB,,,,
6OJ2_XV,,,,
6OJ2_XW,,,,
6OJ2_XY,,,,
6OJ2_YB,,,,
6OM6_3,,,,
6OPE_QV,,,,
6OPE_QY,,,,
6OPE_RB,,,,
6OPE_XV,,,,
6OPE_XY,,,,
6OPE_YB,,,,
6ORD_QV,,,,
6ORD_QY,,,,
6ORD_RB,,,,
6ORD_XV,,,,
6ORD_XY,,,,
6ORD_YB,,,,
6OSI_QV,,,,
6OSI_RB,,,,
6OSI_XV,,,,
6OSI_YB,,,,
6PC5_J,,,,
6PC6_J,,,,
6PC7_J,,,,
6PC8_J,,,,
6PCH_J,,,,
6PCQ_J,,,,
6PCR_J,,,,
6PCS_J,,,,
6PCT_J,,,,
6SKF_BB,,,,
6SKG_BB,,,,
