,PPV,TPR,F1,INF
6YSI_5,,,,
6YSR_B,,,,
6YSR_w,0.083,0.111,0.095,0.096
6YSS_B,,,,
6YSS_w,0.067,0.125,0.087,0.091
6YST_B,,,,
6YST_w,0.053,0.125,0.074,0.081
6YSU_B,,,,
6YSU_w,0.067,0.143,0.091,0.098
6YT9_4,0.024,0.077,0.037,0.043
6YTF_3,0.207,0.475,0.289,0.314
6YTF_7,0.0,0.0,0.0,0.0
6YWE_bb,0.618,1.0,0.764,0.786
6YWX_bb,0.057,0.222,0.091,0.113
6YWY_bb,0.405,0.938,0.566,0.616
6Z6J_C4,,,,
6Z6K_C4,,,,
6Z6L_L7,,,,
6Z6M_L7,,,,
6Z6N_L7,,,,
6ZJ3_LJ,0.0,0.0,0.0,0.0
6ZJ3_LO,,,,
6ZJ3_S2,0.441,0.789,0.566,0.59
6ZJ3_S3,0.559,0.905,0.691,0.711
6ZJ3_S4,0.6,1.0,0.75,0.775
6ZM5_w,,,,
6ZM5_x,0.0,0.0,0.0,0.0
6ZM6_w,,,,
6ZM6_x,0.0,0.0,0.0,0.0
6ZM7_L7,,,,
6ZME_L7,,,,
6ZMI_L7,,,,
6ZMO_CB,,,,
6ZMO_L7,,,,
6ZOL_2,0.008,0.02,0.011,0.012
6ZP4_1,,,,
6ZTJ_AW,,,,
6ZTJ_AX,0.04,0.167,0.065,0.082
6ZTJ_BB,,,,
6ZTL_AW,,,,
6ZTL_AX,0.04,0.167,0.065,0.082
6ZTL_BB,,,,
6ZTM_AW,,,,
6ZTM_AX,0.038,0.167,0.063,0.08
6ZTM_BB,,,,
6ZTN_AW,,,,
6ZTN_AX,0.038,0.167,0.063,0.08
6ZTN_AZ,0.03,0.167,0.051,0.071
6ZTN_BB,,,,
6ZTO_AW,,,,
6ZTO_AX,0.037,0.167,0.061,0.079
6ZTO_BB,,,,
6ZTP_AW,,,,
6ZTP_AX,0.037,0.167,0.061,0.079
6ZTP_BB,,,,
6ZU1_AW,,,,
6ZU1_AX,0.037,0.167,0.061,0.079
6ZU1_BB,,,,
6ZU5_L70,,,,
6ZU9_1,,,,
6ZVH_x,,,,
6ZVI_d,0.765,0.722,0.743,0.743
6ZVI_e,,,,
6ZVK_d2,,,,
