,PPV,TPR,F1,INF
5D5L_1_A,0.692,0.818,0.75,0.753
5NS3_1_C,0.636,0.875,0.737,0.746
1H4S_1_T,0.412,0.5,0.452,0.454
4X4U_1_G,0.667,1.0,0.8,0.816
2ZUE_1_B,0.0,0.0,0.0,0.0
1KUQ_1_B,0.476,0.556,0.513,0.514
6KWQ_1_B,1.0,1.0,1.0,1.0
2UWM_1_D,0.818,1.0,0.9,0.905
5WZJ_1_B,0.0,0.0,0.0,0.0
5B2P_1_B,0.409,0.818,0.545,0.579
6FZ0_1_A,0.0,0.0,0.0,0.0
6RJA_1_D,0.5,0.583,0.538,0.54
3IBK_1_B,0.0,0.0,0.0,0.0
361D_1_B,1.0,0.8,0.889,0.894
4LX6_1_A,0.692,0.9,0.783,0.789
5L2L_1_D,0.0,0.0,0.0,0.0
5ZTM_1_C,0.857,0.667,0.75,0.756
6PMO_1_A,0.722,0.722,0.722,0.722
4Z7K_1_C,0.0,0.0,0.0,0.0
5WLH_1_B,0.0,0.0,0.0,0.0
1MJI_1_D,0.7,0.778,0.737,0.738
3OXE_1_A,0.8,0.8,0.8,0.8
4QIL_1_C,1.0,0.5,0.667,0.707
1U0B_1_A,0.579,0.524,0.55,0.551
6ERI_1_Ax,0.45,0.9,0.6,0.636
6LAX_1_A,0.438,0.583,0.5,0.505
7LYT_1_B,0.0,0.0,0.0,0.0
6F4G_1_C,1.0,0.667,0.8,0.816
6KWR_1_B,0.333,0.333,0.333,0.333
5J7L_1_DB,0.328,0.778,0.462,0.505
7KGB_1_B,0.486,0.643,0.554,0.559
6CB3_1_B,0.658,0.962,0.781,0.795
4YCO_1_D,0.65,0.565,0.605,0.606
6ASO_1_I,0.429,0.545,0.48,0.483
6S0Z_1_B,0.367,0.355,0.361,0.361
2Z75_1_B,0.641,0.806,0.714,0.719
2QUX_1_F,0.875,0.778,0.824,0.825
3GS5_1_C,0.421,1.0,0.593,0.649
2JLT_1_A,0.0,0.0,0.0,0.0
6ZDP_1_B,0.478,0.688,0.564,0.573
3TS2_1_V,1.0,1.0,1.0,1.0
5E81_1_2K,0.423,0.478,0.449,0.45
5DEA_1_C,0.375,0.5,0.429,0.433
5F9F_1_F,1.0,0.9,0.947,0.949
6FQ3_1_B,1.0,1.0,1.0,1.0
6ZMI_1_L7,0.453,0.674,0.542,0.553
6O16_1_C,0.0,0.0,0.0,0.0
1N78_1_C,0.727,0.727,0.727,0.727
5XTM_1_D,0.0,0.0,0.0,0.0
6GSJ_1_1K,0.586,0.708,0.642,0.644
6AZ4_1_A,0.571,1.0,0.727,0.756
6YML_1_A,0.333,0.333,0.333,0.333
6ERI_1_AB,0.5,0.87,0.635,0.659
7R81_1_t1,0.412,0.538,0.467,0.471
4OOG_1_D,1.0,0.786,0.88,0.886
6SQN_1_Y,1.0,1.0,1.0,1.0
1F27_1_A,1.0,0.8,0.889,0.894
7KVT_1_B,0.481,0.867,0.619,0.646
7D3J_1_B,1.0,0.8,0.889,0.894
6R5Q_1_2,0.125,0.25,0.167,0.177
1S03_1_B,0.667,0.667,0.667,0.667
2QUW_1_B,0.667,0.8,0.727,0.73
5D0A_1_F,0.833,1.0,0.909,0.913
6WBR_1_B,0.857,0.571,0.686,0.7
7MJW_1_G,1.0,1.0,1.0,1.0
5T5H_1_H,0.1,0.136,0.115,0.117
2ATW_1_B,0.0,0.0,0.0,0.0
6ZM6_1_x,0.625,0.882,0.732,0.743
6E8S_1_A,0.429,0.75,0.545,0.567
3P22_1_A,1.0,0.909,0.952,0.953
2I82_1_F,0.0,0.0,0.0,0.0
3HJW_1_D,0.778,0.875,0.824,0.825
5LYS_1_B,0.7,0.778,0.737,0.738
7O7Y_1_B7,0.444,0.7,0.544,0.558
5HC9_1_D,0.667,0.8,0.727,0.73
7RYG_1_v,0.563,0.5,0.529,0.53
6PMO_1_B,0.412,0.389,0.4,0.4
4K50_1_B,0.857,1.0,0.923,0.926
3AM1_1_B,0.68,0.63,0.654,0.654
3NDB_1_M,0.674,0.674,0.674,0.674
1ET4_1_A,0.222,0.333,0.267,0.272
6F4H_1_B,1.0,0.833,0.909,0.913
5T16_1_H,1.0,0.538,0.7,0.734
6TQB_1_B,1.0,1.0,1.0,1.0
3SIU_1_F,0.5,0.6,0.545,0.548
6ZM6_1_w,0.24,0.286,0.261,0.262
7EL1_1_B,0.789,0.833,0.811,0.811
3ZGZ_1_B,0.636,0.636,0.636,0.636
4PR6_1_B,0.31,0.45,0.367,0.374
6H9H_1_D,0.75,0.429,0.545,0.567
7B5K_1_z,0.273,0.316,0.293,0.293
4V99_1_C2,0.6,1.0,0.75,0.775
6HC5_1_A,0.75,1.0,0.857,0.866
5WTK_1_B,0.5,0.333,0.4,0.408
1ZL3_1_B,1.0,0.857,0.923,0.926
7OL0_1_P,0.0,0.0,0.0,0.0
6E8T_1_D,0.5,0.714,0.588,0.598
1XOK_1_A,0.75,0.6,0.667,0.671
5UD5_1_C,0.783,0.75,0.766,0.766
6E8T_1_A,0.455,0.833,0.588,0.615
4Z0C_1_C,0.0,0.0,0.0,0.0
5XTM_1_B,0.0,0.0,0.0,0.0
4L8H_1_R,1.0,0.625,0.769,0.791
2ZZN_1_D,0.737,0.737,0.737,0.737
7OBR_1_1,0.186,0.197,0.191,0.191
6SZV_1_V,0.0,0.0,0.0,0.0
6WOO_1_3,0.773,0.85,0.81,0.81
1JID_1_B,0.5,0.429,0.462,0.463
5X2G_1_B,0.846,0.846,0.846,0.846
