,PPV,TPR,F1,INF
6UC9_B,0.286,0.333,0.308,0.309
6VAR_A,,,,
6VWL_4,0.0,0.0,0.0,0.0
6VWM_4,0.0,0.0,0.0,0.0
6VWN_4,0.0,0.0,0.0,0.0
6WB1_D,0.0,0.0,0.0,0.0
6WB2_D,0.0,0.0,0.0,0.0
6WZR_A,0.0,0.0,0.0,0.0
6WZR_B,0.0,0.0,0.0,0.0
6WZS_B,0.0,0.0,0.0,0.0
6XHV_2w,0.0,0.0,0.0,0.0
6XHV_2y,0.0,0.0,0.0,0.0
6XHW_2w,0.0,0.0,0.0,0.0
6XHW_2y,0.0,0.0,0.0,0.0
6XHY_2w,0.0,0.0,0.0,0.0
6XHY_2y,0.0,0.0,0.0,0.0
6XIQ_3,,,,
6XIR_3,,,,
6XZ7_g,0.0,0.0,0.0,0.0
6XZB_g2,0.0,0.0,0.0,0.0
6Y50_2,0.2,1.0,0.333,0.447
6Y69_w,,,,
6YBV_w,,,,
6YDP_BB,,,,
6YDW_BB,,,,
6YS5_7,0.5,1.0,0.667,0.707
6YTF_7,1.0,1.0,1.0,1.0
6YWE_bb,0.154,0.333,0.211,0.226
6ZM5_w,,,,
6ZM5_x,0.0,0.0,0.0,0.0
6ZM6_w,,,,
6ZM6_x,0.0,0.0,0.0,0.0
6ZMW_w,,,,
6ZYM_5,0.2,0.167,0.182,0.183
7A5P_5,0.0,0.0,0.0,0.0
7AAV_5,0.0,0.0,0.0,0.0
7AAV_6,0.0,0.0,0.0,0.0
7ABF_5,0.333,0.4,0.364,0.365
7ABH_2,0.2,0.2,0.2,0.2
7AQC_P,,,,
7AS8_2,,,,
7ASA_2,0.167,0.5,0.25,0.289
7ASE_1,,,,
7CPU_S6,,,,
7CPV_S6,,,,
7D7W_A,,,,
7D7X_A,,,,
7D7Y_A,,,,
7D7Z_A,,,,
7D81_A,,,,
7D82_A,,,,
7DA7_C,0.0,0.0,0.0,0.0
7DAS_C,0.0,0.0,0.0,0.0
7DVQ_B,0.0,0.0,0.0,0.0
7ELD_B,0.0,0.0,0.0,0.0
7F36_H,,,,
7K9M_C,0.167,0.4,0.235,0.258
7KA0_C,0.083,0.167,0.111,0.118
7KA0_F,0.059,0.1,0.074,0.077
7KAB_C,0.0,0.0,0.0,0.0
7KJT_A,,,,
7KJU_A,,,,
7LH5_AV,,,,
7LH5_CV,,,,
7LMA_B,,,,
7LS1_n2,,,,
7LS2_n2,,,,
