,PPV,TPR,F1,INF
6SY6_1_D,1.0,1.0,1.0,1.0
3P22_1_A,1.0,1.0,1.0,1.0
2ZY6_1_A,0.778,0.875,0.824,0.825
4QIL_1_C,1.0,1.0,1.0,1.0
4K50_1_B,1.0,1.0,1.0,1.0
7EOG_1_A,0.933,1.0,0.966,0.966
5L4O_1_A,0.952,1.0,0.976,0.976
7OZQ_1_H,1.0,1.0,1.0,1.0
6P7M_1_B,1.0,1.0,1.0,1.0
2JLT_1_A,0.5,0.667,0.571,0.577
1JID_1_B,0.5,0.5,0.5,0.5
5MGA_1_B,0.0,0.0,0.0,0.0
7OIF_1_z,0.792,1.0,0.884,0.89
4YYE_1_C,0.714,0.714,0.714,0.714
6JOO_1_B,0.692,0.621,0.655,0.656
4C4W_1_H,1.0,1.0,1.0,1.0
5HR7_1_D,0.952,1.0,0.976,0.976
2AZX_1_D,0.947,1.0,0.973,0.973
5X2G_1_B,0.833,0.87,0.851,0.851
5AOX_1_C,0.9,1.0,0.947,0.949
1E7K_1_C,0.6,1.0,0.75,0.775
5T5H_1_G,0.667,0.686,0.676,0.676
3LA5_1_A,0.833,1.0,0.909,0.913
1A9N_1_Q,1.0,1.0,1.0,1.0
6T4Q_1_7,0.8,0.889,0.842,0.843
4AOB_1_A,0.793,1.0,0.885,0.891
4ZT0_1_D,0.471,0.571,0.516,0.519
6DCC_1_B,0.778,1.0,0.875,0.882
5ZTM_1_C,0.941,1.0,0.97,0.97
3V7E_1_C,0.891,1.0,0.943,0.944
1S03_1_A,0.889,0.889,0.889,0.889
6ZDP_1_B,0.952,1.0,0.976,0.976
6AZ3_1_5,0.16,0.174,0.167,0.167
6E8U_1_B,0.857,1.0,0.923,0.926
6X5M_1_r,1.0,1.0,1.0,1.0
4QOZ_1_A,1.0,1.0,1.0,1.0
6T4Q_1_6,0.714,0.75,0.732,0.732
5IB7_1_3L,1.0,1.0,1.0,1.0
3SNP_1_D,0.833,1.0,0.909,0.913
2BTE_1_B,0.708,0.85,0.773,0.776
6TC3_1_PTR1,1.0,1.0,1.0,1.0
6ZMI_1_CC,0.8,0.889,0.842,0.843
